Species,Geolocation,Year,Quarter,Value,Volume
Mudcrab,Region IX (Zamboanga Peninsula),2020, Quarter 1,57621.34,228.97
Mudcrab,Region X (Nothern Mindanao),2020, Quarter 1,797939.88,1942.25
Mudcrab,Region XI (Davao Region),2020, Quarter 1,655.62,1.71
Mudcrab,Region XII (SOCCSKSARGEN),2020, Quarter 1,16.94,0.04
Mudcrab,Region XIII (Caraga),2020, Quarter 1,31463.63,71.68
Mudcrab,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2020, Quarter 1,2124.3,7.64
Endeavor Prawn,National Capital Region (NCR),2020, Quarter 1,2225.483333333333,5.43
Endeavor Prawn,Cordillera Administrative Region (CAR),2020, Quarter 1,1089.6633333333332,10.196666666666667
Endeavor Prawn,Region I (Ilocos Region),2020, Quarter 1,6612.86,15.98
Endeavor Prawn,Region II (Cagayan Valley),2020, Quarter 1,5606.98,21.57
Endeavor Prawn,Region III (Central Luzon),2020, Quarter 1,45.75,0.11
Endeavor Prawn,Region IV-A (CALABARZON),2020, Quarter 1,5.1,0.03
Endeavor Prawn,MIMAROPA Region,2020, Quarter 1,63.41,0.27
Endeavor Prawn,Region V (Bicol Region),2020, Quarter 1,16.78,0.13
Endeavor Prawn,Region VI (Western Visayas),2020, Quarter 1,2653.26,15.67
Endeavor Prawn,Region VII (Central Visayas),2020, Quarter 1,886.2133333333335,5.24
Endeavor Prawn,Region VIII (Eastern Visayas),2020, Quarter 1,233.18666666666664,1.5833333333333337
Endeavor Prawn,Region IX (Zamboanga Peninsula),2020, Quarter 1,8.88,0.07666666666666667
Endeavor Prawn,Region X (Nothern Mindanao),2020, Quarter 1,680.8,4.32
Endeavor Prawn,Region XI (Davao Region),2020, Quarter 1,415.64,2.08
Endeavor Prawn,Region XII (SOCCSKSARGEN),2020, Quarter 1,2715.7233333333334,21.8
Endeavor Prawn,Region XIII (Caraga),2020, Quarter 1,2577.976666666667,21.116666666666667
Endeavor Prawn,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2020, Quarter 1,1089.0766666666666,10.19
White Shrimp,National Capital Region (NCR),2020, Quarter 1,3409.58,83.68333333333334
White Shrimp,Cordillera Administrative Region (CAR),2020, Quarter 1,27599.766666666666,253.74
White Shrimp,Region I (Ilocos Region),2020, Quarter 1,27.48,0.11
White Shrimp,Region II (Cagayan Valley),2020, Quarter 1,249.19,2.49
White Shrimp,Region III (Central Luzon),2020, Quarter 1,5738.44,18.79
White Shrimp,Region IV-A (CALABARZON),2020, Quarter 1,7.86,0.04
White Shrimp,MIMAROPA Region,2020, Quarter 1,11.03,0.1
White Shrimp,Region V (Bicol Region),2020, Quarter 1,7.63,0.05
White Shrimp,Region VI (Western Visayas),2020, Quarter 1,376.97,2.04
White Shrimp,Region VII (Central Visayas),2020, Quarter 1,60.52,0.3
White Shrimp,Region VIII (Eastern Visayas),2020, Quarter 1,120013.92333333334,1684.0100000000002
White Shrimp,Region IX (Zamboanga Peninsula),2020, Quarter 1,775.67,6.65
White Shrimp,Region X (Nothern Mindanao),2020, Quarter 1,1253.77,9.21
White Shrimp,Region XI (Davao Region),2020, Quarter 1,18.5,0.1
White Shrimp,Region XII (SOCCSKSARGEN),2020, Quarter 1,251405.8966666667,1287.8233333333335
White Shrimp,Region XIII (Caraga),2020, Quarter 1,107.52,0.53
White Shrimp,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2020, Quarter 1,10253.14,57.8
Grouper,National Capital Region (NCR),2020, Quarter 1,1058.9,12.326666666666666
Grouper,Cordillera Administrative Region (CAR),2020, Quarter 1,4261.493333333333,35.376666666666665
Grouper,Region I (Ilocos Region),2020, Quarter 1,246.9,0.33
Grouper,Region II (Cagayan Valley),2020, Quarter 1,27.5,0.05
Grouper,Region III (Central Luzon),2020, Quarter 1,387369.5233333334,3658.9566666666665
Grouper,Region IV-A (CALABARZON),2020, Quarter 1,2342.3,4.34
Grouper,MIMAROPA Region,2020, Quarter 1,76.3,0.28
Grouper,Region V (Bicol Region),2020, Quarter 1,9.86,0.02
Grouper,Region VI (Western Visayas),2020, Quarter 1,6730.41,12.57
Grouper,Region VII (Central Visayas),2020, Quarter 1,62.0,0.1
Grouper,Region VIII (Eastern Visayas),2020, Quarter 1,4.5,0.01
Grouper,Region IX (Zamboanga Peninsula),2020, Quarter 1,122.14,0.3
Grouper,Region X (Nothern Mindanao),2020, Quarter 1,206433.7333333333,742.7566666666667
Grouper,Region XI (Davao Region),2020, Quarter 1,116842.57333333335,996.31
Grouper,Region XII (SOCCSKSARGEN),2020, Quarter 1,5321.686666666667,45.06
Grouper,Region XIII (Caraga),2020, Quarter 1,15.0,0.02
Grouper,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2020, Quarter 1,5.08,0.05
Siganid,National Capital Region (NCR),2020, Quarter 1,23567.690000000002,3295.4966666666664
Siganid,Cordillera Administrative Region (CAR),2020, Quarter 1,431327.2,73752.60666666666
Siganid,Region I (Ilocos Region),2020, Quarter 1,4687.21,14.38
Siganid,Region II (Cagayan Valley),2020, Quarter 1,592.84,1.79
Siganid,Region III (Central Luzon),2020, Quarter 1,5.6,0.02
Siganid,Region IV-A (CALABARZON),2020, Quarter 1,85.08999999999999,6.596666666666667
Siganid,MIMAROPA Region,2020, Quarter 1,30209.48,3309.9999999999995
Siganid,Region V (Bicol Region),2020, Quarter 1,20225.71,1671.3033333333335
Siganid,Region VI (Western Visayas),2020, Quarter 1,411.28,1.06
Siganid,Region VII (Central Visayas),2020, Quarter 1,10.2,0.07
Siganid,Region VIII (Eastern Visayas),2020, Quarter 1,2.8,0.02
Siganid,Region IX (Zamboanga Peninsula),2020, Quarter 1,3.0,0.05
Siganid,Region X (Nothern Mindanao),2020, Quarter 1,0.64,0.01
Siganid,Region XI (Davao Region),2020, Quarter 1,1142.72,4.58
Siganid,Region XII (SOCCSKSARGEN),2020, Quarter 1,102.6,0.46
Siganid,Region XIII (Caraga),2020, Quarter 1,11.75,0.08
Siganid,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2020, Quarter 1,421630.0833333333,70503.51666666666
P. Vannamei,National Capital Region (NCR),2020, Quarter 1,23336.190000000002,3.9099999999999997
P. Vannamei,Cordillera Administrative Region (CAR),2020, Quarter 1,432024.18,73754.68333333333
P. Vannamei,Region I (Ilocos Region),2020, Quarter 1,1822.27,4.27
P. Vannamei,Region II (Cagayan Valley),2020, Quarter 1,14865.82,43.72
P. Vannamei,Region III (Central Luzon),2020, Quarter 1,296828.78,1020.47
P. Vannamei,Region IV-A (CALABARZON),2020, Quarter 1,57296.57,179.03
P. Vannamei,MIMAROPA Region,2020, Quarter 1,2207.94,6.31
P. Vannamei,Region V (Bicol Region),2020, Quarter 1,270.0,1.5
P. Vannamei,Region VI (Western Visayas),2020, Quarter 1,13352.75,53.39
P. Vannamei,Region VII (Central Visayas),2020, Quarter 1,370049.81,1442.51
P. Vannamei,Region VIII (Eastern Visayas),2020, Quarter 1,8475.0,32.6
P. Vannamei,Region IX (Zamboanga Peninsula),2020, Quarter 1,7.8,0.1
P. Vannamei,Region X (Nothern Mindanao),2020, Quarter 1,80.21,0.36
P. Vannamei,Region XI (Davao Region),2020, Quarter 1,138414.67,667.83
P. Vannamei,Region XII (SOCCSKSARGEN),2020, Quarter 1,295778.1,1367.48
P. Vannamei,Region XIII (Caraga),2020, Quarter 1,1885.3,6.55
P. Vannamei,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2020, Quarter 1,410032.31,70464.37333333334
Spiny Lobster,National Capital Region (NCR),2020, Quarter 1,53050.036666666674,99.70333333333333
Spiny Lobster,Cordillera Administrative Region (CAR),2020, Quarter 1,19815.383333333335,56.14333333333334
Spiny Lobster,Region I (Ilocos Region),2020, Quarter 1,45766.93666666667,86.42333333333333
Spiny Lobster,Region II (Cagayan Valley),2020, Quarter 1,880734.6666666666,6.996666666666667
Spiny Lobster,Region III (Central Luzon),2020, Quarter 1,884837.3000000002,1578.32
Spiny Lobster,Region IV-A (CALABARZON),2020, Quarter 1,907022.5733333334,83.96333333333332
Spiny Lobster,MIMAROPA Region,2020, Quarter 1,31656.673333333336,3324.35
Spiny Lobster,Region V (Bicol Region),2020, Quarter 1,40807.64666666667,53.080000000000005
Spiny Lobster,Region VI (Western Visayas),2020, Quarter 1,253.0,0.12
Spiny Lobster,Region VII (Central Visayas),2020, Quarter 1,3856.066666666667,11.146666666666667
Spiny Lobster,Region VIII (Eastern Visayas),2020, Quarter 1,4.466666666666666,0.01
Spiny Lobster,Region IX (Zamboanga Peninsula),2020, Quarter 1,27213.84,83.96333333333332
Spiny Lobster,Region X (Nothern Mindanao),2020, Quarter 1,361422.7266666666,863.6999999999999
Spiny Lobster,Region XI (Davao Region),2020, Quarter 1,398.7266666666667,1.5633333333333332
